country,population,area,density,migration,gdp,literacy,phones
Burkina Faso ,13902972,274200,50.7,0,1100,26.6,7
Burma ,47382633,678500,69.8,-1.8,1800,85.3,10.1
Burundi ,8090068,27830,290.7,-0.06,600,51.6,3.4
Cambodia ,13881427,181040,76.7,0,1900,69.4,2.6
Cameroon ,17340702,475440,36.5,0,1800,79,5.7
Canada ,33098932,9984670,3.3,5.96,29800,97,552.2
Cape Verde ,420979,4033,104.4,-12.07,1400,76.6,169.6
Cayman Islands ,45436,262,173.4,18.75,35000,98,836.3
Central African Rep. ,4303356,622984,6.9,0,1100,51,2.3
Chad ,9944201,1284000,7.7,-0.11,1200,47.5,1.3
Chile ,16134219,756950,21.3,0,9900,96.2,213
China ,1.31E+09,9596960,136.9,-0.4,5000,90.9,266.7
Colombia ,43593035,1138910,38.3,-0.31,6300,92.5,176.2
Comoros ,690948,2170,318.4,0,700,56.5,24.5
Dem. Rep. Congo,62660551,2345410,26.7,0,700,65.5,0.2
Repub. of the Congo,3702314,342000,10.8,-0.17,700,83.8,3.7
Cook Islands ,21388,240,89.1,0,5000,95,289.9
Costa Rica ,4075261,51100,79.8,0.51,9100,96,340.7
Cote d'Ivoire ,17654843,322460,54.8,-0.07,1400,50.9,14.6
Croatia ,4494749,56542,79.5,1.58,10600,98.5,420.4
Cuba ,11382820,110860,102.7,-1.58,2900,97,74.7
Cyprus ,784301,9250,84.8,0.43,19200,97.6,0
Czech Republic ,10235455,78866,129.8,0.97,15700,99.9,314.3
Denmark ,5450661,43094,126.5,2.48,31100,100,614.6
Djibouti ,486530,23000,21.2,0,1300,67.9,22.8
Dominica ,68910,754,91.4,-13.87,5400,94,304.8
Dominican Republic ,9183984,48730,188.5,-3.22,6000,84.7,97.4
East Timor ,1062777,15007,70.8,0,500,58.6,0
Ecuador ,13547510,283560,47.8,-8.58,3300,92.5,125.6
Egypt ,78887007,1001450,78.8,-0.22,4000,57.7,131.8
El Salvador ,6822378,21040,324.3,-3.74,4800,80.2,142.4
Equatorial Guinea ,540109,28051,19.3,0,2700,85.7,18.5
Eritrea ,4786994,121320,39.5,0,700,58.6,7.9
Estonia ,1324333,45226,29.3,-3.16,12300,99.8,333.8
Ethiopia ,74777981,1127127,66.3,0,700,42.7,8.2
Faroe Islands ,47246,1399,33.8,1.41,22000,0,503.8
Fiji ,905949,18270,49.6,-3.14,5800,93.7,112.6
Finland ,5231372,338145,15.5,0.95,27400,100,405.3
France ,60876136,547030,111.3,0.66,27600,99,586.4
French Guiana ,199509,91000,2.2,6.27,8300,83,255.6
French Polynesia ,274578,4167,65.9,2.94,17500,98,194.5
Gabon ,1424906,267667,5.3,0,5500,63.2,27.4
The Gambia,1641564,11300,145.3,1.57,1700,40.1,26.8
Gaza Strip ,1428757,360,3968.8,1.6,600,0,244.3
Georgia ,4661473,69700,66.9,-4.7,2500,99,146.6
Germany ,82422299,357021,230.9,2.18,27600,99,667.9
Ghana ,22409572,239460,93.6,-0.64,2200,74.8,14.4
Gibraltar ,27928,7,3989.7,0,17500,0,877.7
Greece ,10688058,131940,81,2.35,20000,97.5,589.7
Greenland ,56361,2166086,0,-8.37,20000,0,448.9
Grenada ,89703,344,260.8,-13.92,5000,98,364.5
Guadeloupe ,452776,1780,254.4,-0.15,8000,90,463.8
Guam ,171019,541,316.1,0,21000,99,492
Guatemala ,12293545,108890,112.9,-1.67,4100,70.6,92.1
Guernsey ,65409,78,838.6,3.84,20000,0,842.4
Guinea ,9690222,245857,39.4,-3.06,2100,35.9,2.7
Guinea-Bissau ,1442029,36120,39.9,-1.57,800,42.4,7.4
Guyana ,767245,214970,3.6,-2.07,4000,98.8,143.5
Haiti ,8308504,27750,299.4,-3.4,1600,52.9,16.9
Honduras ,7326496,112090,65.4,-1.99,2600,76.2,67.5
Hong Kong ,6940432,1092,6355.7,5.24,28800,93.5,546.7
Hungary ,9981334,93030,107.3,0.86,13900,99.4,336.2
Iceland ,299388,103000,2.9,2.38,30900,99.9,647.7
India ,1.10E+09,3287590,333.2,-0.07,2900,59.5,45.4
Indonesia ,2.45E+08,1919440,127.9,0,3200,87.9,52
Iran ,68688433,1648000,41.7,-0.84,7000,79.4,276.4
Iraq ,26783383,437072,61.3,0,1500,40.4,38.6
Ireland ,4062235,70280,57.8,4.99,29600,98,500.5
Isle of Man ,75441,572,131.9,5.36,21000,0,676
Israel ,6352117,20770,305.8,0.68,19800,95.4,462.3
Italy ,58133509,301230,193,2.07,26700,98.6,430.9
Jamaica ,2758124,10991,250.9,-4.92,3900,87.9,124
Japan ,1.27E+08,377835,337.4,0,28200,99,461.2
Jersey ,91084,116,785.2,2.76,24800,0,811.3
Jordan ,5906760,92300,64,6.59,4300,91.3,104.5
Kazakhstan ,15233244,2717300,5.6,-3.35,6300,98.4,164.1
Kenya ,34707817,582650,59.6,-0.1,1000,85.1,8.1
Kiribati ,105432,811,130,0,800,0,42.7
North Korea,23113019,120540,191.8,0,1300,99,42.4
South Korea,48846823,98480,496,0,17800,97.9,486.1
Kuwait ,2418393,17820,135.7,14.18,19000,83.5,211
Kyrgyzstan ,5213898,198500,26.3,-2.45,1600,97,84
Laos ,6368481,236800,26.9,0,1700,66.4,14.1
Latvia ,2274735,64589,35.2,-2.23,10200,99.8,321.4
Lebanon ,3874050,10400,372.5,0,4800,87.4,255.6
Lesotho ,2022331,30355,66.6,-0.74,3000,84.8,23.7
Liberia ,3042004,111370,27.3,0,1000,57.5,2.3
Libya ,5900754,1759540,3.4,0,6400,82.6,127.1
Liechtenstein ,33987,160,212.4,4.85,25000,100,585.5
Lithuania ,3585906,65200,55,-0.71,11400,99.6,223.4
Luxembourg ,474413,2586,183.5,8.97,55100,100,515.4
Macau ,453125,28,16183,4.86,19400,94.5,384.9
Macedonia ,2050554,25333,80.9,-1.45,6700,0,260
Madagascar ,18595469,587040,31.7,0,800,68.9,3.6
Malawi ,13013926,118480,109.8,0,600,62.7,7.9
Malaysia ,24385858,329750,74,0,9000,88.7,179
Maldives ,359008,300,1196.7,0,3900,97.2,90
Mali ,11716829,1240000,9.5,-0.33,900,46.4,6.4
Malta ,400214,316,1266.5,2.07,17700,92.8,505
Marshall Islands ,60422,11854,5.1,-6.04,1600,93.7,91.2
Martinique ,436131,1100,396.5,-0.05,14400,97.7,394.4
Mauritania ,3177388,1030700,3.1,0,1800,41.7,12.9
Mauritius ,1240827,2040,608.3,-0.9,11400,85.6,289.3
Mayotte ,201234,374,538.1,6.78,2600,0,49.7
Mexico ,1.07E+08,1972550,54.5,-4.87,9000,92.2,181.6
Fed. St. Micronesia,108004,702,153.9,-20.99,2000,89,114.8
Moldova ,4466706,33843,132,-0.26,1800,99.1,208.1
Monaco ,32543,2,16271.5,7.75,27000,99,1035.6
Mongolia ,2832224,1564116,1.8,0,1800,97.8,55.1
Montserrat ,9439,102,92.5,0,3400,97,0
Morocco ,33241259,446550,74.4,-0.98,4000,51.7,40.4
Mozambique ,19686505,801590,24.6,0,1200,47.8,3.5
Namibia ,2044147,825418,2.5,0,7200,84,62.6
Nauru ,13287,21,632.7,0,5000,0,143
Nepal ,28287147,147181,192.2,0,1400,45.2,15.9
Netherlands ,16491461,41526,397.1,2.91,28600,99,460.8
Netherlands Antilles ,221736,960,231,-0.41,11400,96.7,365.3
New Caledonia ,219246,19060,11.5,0,15000,91,252.2
New Zealand ,4076140,268680,15.2,4.05,21600,99,441.7
Nicaragua ,5570129,129494,43,-1.22,2300,67.5,39.7
Niger ,12525094,1267000,9.9,-0.67,800,17.6,1.9
Nigeria ,1.32E+08,923768,142.7,0.26,900,68,9.3
N. Mariana Islands ,82459,477,172.9,9.61,12500,97,254.7
Norway ,4610820,323802,14.2,1.74,37800,100,461.7
Oman ,3102229,212460,14.6,0.28,13100,75.8,85.5
Pakistan ,1.66E+08,803940,206.2,-2.77,2100,45.7,31.8
Palau ,20579,458,44.9,2.85,9000,92,325.6
Panama ,3191319,78200,40.8,-0.91,6300,92.6,137.9
Papua New Guinea ,5670544,462840,12.3,0,2200,64.6,10.9
Paraguay ,6506464,406750,16,-0.08,4700,94,49.2
Peru ,28302603,1285220,22,-1.05,5100,90.9,79.5
Philippines ,89468677,300000,298.2,-1.5,4600,92.6,38.4
Poland ,38536869,312685,123.3,-0.49,11100,99.8,306.3
Portugal ,10605870,92391,114.8,3.57,18000,93.3,399.2
Puerto Rico ,3927188,13790,284.8,-1.46,16800,94.1,283.1
Qatar ,885359,11437,77.4,16.29,21500,82.5,232
Reunion ,787584,2517,312.9,0,5800,88.9,380.9
Romania ,22303552,237500,93.9,-0.13,7000,98.4,196.9
Russia ,1.43E+08,17075200,8.4,1.02,8900,99.6,280.6
Rwanda ,8648248,26338,328.4,0,1300,70.4,2.7
